Ref	Designation Text	J	H	K	SpType	SpTpye String	IRTF obs	IRTF Tel	IRTF File	Obs	Telescope	Instrument	Filename	Young?	Dusty?	Blue?	Multiple?	Pec?
11115	13 00 42.5 +19 12 35	12.717	12.08	11.624	11	L1blue	#Mar-05	IRTF	U11115_1300+1912.fits	#Feb-04	KP 4m		u11115.fits	No	No	Yes	No	No
20550	14 07 53.61 +12 41 09.9	15.378	14.34	13.598	11	L1::	July-08	IRTF	spex_prism_U20550_1407+1241_080730.fits	Apr-03	CT 4m		U20550.fits	No	No	No	No	No
20581	14 39 28.36 +19 29 14.9	12.759	12.04	11.546	11	L1	#Adam	IRTF	U20581_1439+1929_ajb.fits	known	Keck II	LRIS	U20581_1439+1929_lris.fits	No	No	No	No	No
51218	14 40 31.86 -13 03 26.3	15.379	14.72	14.251	11	L1	Adam	IRTF	U51218_1440-1303_KIR10A.fits	Davy	Magellan	LDSS-3	U51218_1440-1303_K10.fits	No	No	Yes	No	No
20812	19 22 30.62 +66 10 19.4	14.571	13.69	13.162	11	L1	#Sep-03	IRTF	U20812.fits	GN-04B	GN	GMOS	U20812.fits	No	No	No	No	No
12009	20 26 15.8 -29 43 12	14.802	13.95	13.36	11	L1:	Adam	IRTF	spex_prism_2026-2943_080908.fits	#Sep-02	KP 4m		U12009.fits	No	No	No	Yes	No
20869	20 34 37.69 +08 27 00.9	14.464	13.59	13.08	11	L1	Nov-07	IRTF	spex_prism_2034+0827_U20869.fits	Adam	Clay (Mag II)	LDSS-3	ldss3_2034+0827_081007.fits	No	No	No	No	No
20902	21 30 44.64 -08 45 20.5	14.137	13.33	12.815	11	L1	Adam	IRTF	spex_prism_2130-0845_080713.fits	July-03	KP 4m		U20902.fits	No	No	No	No	No
12164	22 54 51.9 -28 40 25	14.134	13.43	12.955	11	L1pec	Adam	IRTF	spex_prism_2254-2840_080714.fits	July-01	KP 4m		U12164.fits	No	No	No	No	Yes
12190	23 30 22.5 -03 47 18	14.475	13.75	13.121	11	L1:	Adam	IRTF	spex_prism_2330-0347_080714.fits	Sep-02	KP 4m		U12190_2330-0347.fits	No	No	No	No	No
10102	02 13 28.8 +44 44 45	13.494	12.76	12.213	11.5	L1.5pec	#Nov-04	IRTF	U10102.fits	July-01	KP 4m		U10102_0213+4444.fits	No	No	No	No	Yes
50080	07 51 16.45 -25 30 43.2	13.161	12.50	11.991	11.5	L1.5	Adam	IRTF	U50080_0751-2530.fits	PhanBao08			U50080_DENIS0751-2530.fits	No	No	No	No	No
20336	09 21 14.10 -21 04 44.6	12.779	12.15	11.69	11.5	L1.5	#Nov-04	IRTF	U20336_0921-2104.fits	&Jan-06	CT 4m		U20336.fits	No	No	Yes	No	No
